"","PID.FU","Percent.Distract","dprime_Distract","dprime_Reapp","Accuracy","ERQ_Reapp.FU","Gender","Age","ERQ_Supp.FU","DERS.FU","DERS.Nonaccept.FU","DERS.DiffGoal.FU","DERS.Impulse.FU","DERS.LimitAccess.FU","DERS.LackClarity.FU","IUS.FU","IUS_F1.FU","IUS_F2.FU","ERQ_Reapp.Diff.abs.avg","ERQ_Supp.Diff.abs.avg","ERQ_Reapp.Diff.abs.z.avg","ERQ_Supp.Diff.abs.z.avg"
"P058","P058",0.282051282051282,0.742078362752943,-0.855584280551156,0.423076923076923,28,"Male","32",18,95,16,15,15,23,11,33,19,14,4.84939759036145,6.24698795180723,-0.201937305995986,0.0201187094000872
"P059","P059",0.5,0.807813301645962,-0.71452108485019,0.512820512820513,27,"Male","25",18,110,16,15,21,23,14,30,19,11,5.19879518072289,6.24698795180723,-0.125635262036591,0.0201187094000872
"P060","P060",0.474358974358974,0.465019342728346,-1.07304760884252,0.41025641025641,32,"Female","21",12,97,17,19,13,16,15,43,26,17,4.05421686746988,3.53614457831325,-0.375590233627714,-0.613453907066746
"P061","P061",0.576923076923077,0.826048090362275,-0.695977478933569,0.538461538461538,32,"Female","22",17,92,23,17,9,16,9,30,19,11,4.05421686746988,5.62048192771084,-0.375590233627714,-0.126306961961136
"P062","P062",0.487179487179487,0.679997426747021,-0.841535385872298,0.474358974358974,34,"Male","37",18,80,14,13,12,18,10,41,26,15,4.60843373493976,6.24698795180723,-0.254559405278328,0.0201187094000872
"P063","P063",0.615384615384615,0.67539563086496,-0.923674648899492,0.5,31,"Female","60",13,81,15,14,10,15,11,35,20,15,3.98192771084337,3.68072289156627,-0.391376863412416,-0.579663367521848
"P064","P064",0.551282051282051,0.84883727802563,-0.668651356622855,0.538461538461538,30,"Male","30",8,56,11,15,6,9,6,21,16,5,4.24698795180723,4.52409638554217,-0.333492554201841,-0.382551886843278
"P065","P065",0.551282051282051,0.674040333980508,-0.871350455451957,0.487179487179487,34,"Female","23",19,87,14,10,12,19,11,27,22,5,4.60843373493976,6.92168674698795,-0.254559405278328,0.177807893942944
"P066","P066",0.538461538461538,0.908031173457612,-0.609457461190873,0.551282051282051,32,"Female","54",16,87,17,11,12,15,15,41,27,14,4.05421686746988,5.03012048192771,-0.375590233627714,-0.264284998436136
"P067","P067",0.551282051282051,0.84883727802563,-0.668651356622855,0.538461538461538,22,"Female","23",19,127,23,22,15,28,18,32,19,13,8.33132530120482,6.92168674698795,0.558452028633851,0.177807893942944
"P068","P068",0.205128205128205,0.612471733060147,-0.973167826096917,0.371794871794872,29,"Male","34",13,84,17,12,14,17,10,33,22,11,4.51204819277108,3.68072289156627,-0.275608244991265,-0.579663367521848
"P069","P069",0.448717948717949,0.767652403011467,-0.760086631555131,0.487179487179487,31,"Female","37",14,103,20,21,14,25,9,49,28,21,3.98192771084337,4.07831325301205,-0.391376863412416,-0.48673938377338
"P070","P070",0.67948717948718,0.837281979961548,-0.731275019907483,0.564102564102564,18,"Female","26",18,107,9,23,11,19,24,53,31,22,12.2228915662651,6.24698795180723,1.40829893204367,0.0201187094000872
"P071","P071",0.512820512820513,0.938390101075854,-0.589348933490744,0.551282051282051,27,"Female","28",10,114,19,23,24,22,14,37,24,13,5.19879518072289,3.80120481927711,-0.125635262036591,-0.551504584567767
"P072","P072",0.384615384615385,0.803128040752162,-0.755942142884989,0.474358974358974,32,"Male","53",16,78,13,15,9,18,9,27,17,10,4.05421686746988,5.03012048192771,-0.375590233627714,-0.264284998436136
"P073","P073",0.461538461538462,0.428213926776602,-1.10569670853221,0.397435897435897,30,"Female","20",23,87,11,11,15,20,14,36,20,16,4.24698795180723,10.7168674698795,-0.333492554201841,1.06480955699651
"P074","P074",0.551282051282051,0.940888475569565,-0.573320499188153,0.564102564102564,30,"Female","56",8,36,6,5,6,8,5,12,7,5,4.24698795180723,4.52409638554217,-0.333492554201841,-0.382551886843278
"P075","P075",0.166666666666667,0.633908420525215,-0.9963055186072,0.358974358974359,18,"Female","23",22,153,30,25,27,39,17,51,27,24,12.2228915662651,9.74096385542169,1.40829893204367,0.83672341506845
"P076","P076",0.435897435897436,0.836348451970987,-0.707431964870631,0.5,30,"Female","34",9,57,7,10,8,10,10,37,25,12,4.24698795180723,4.03012048192771,-0.333492554201841,-0.498002896955012
"P077","P077",0.461538461538462,0.704189318698033,-0.815733121330438,0.474358974358974,29,"Male","19",24,95,13,17,10,15,17,39,26,13,4.51204819277108,11.7168674698795,-0.275608244991265,1.29852745551539
"P078","P078",0.564102564102564,0.793190788250323,-0.732114440936289,0.525641025641026,28,"Female","25",15,75,12,16,9,16,10,39,23,16,4.84939759036145,4.54819277108434,-0.201937305995986,-0.376920130252462
"P079","P079",0.538461538461538,0.815733121330438,-0.704189318698033,0.525641025641026,32,"Female","30",13,102,22,18,14,21,12,38,25,13,4.05421686746988,3.68072289156627,-0.375590233627714,-0.579663367521848
"P080","P080",0.256410256410256,0.651794273137048,-0.920001102513457,0.397435897435897,30,"Male","23",14,51,9,9,6,8,7,14,9,5,4.24698795180723,4.07831325301205,-0.333492554201841,-0.48673938377338
"P081","P081",0.474358974358974,0.837178064595605,-0.692972916438673,0.512820512820513,24,"Female","29",5,100,16,18,14,29,8,37,18,19,6.90963855421687,7.29518072289157,0.247981642868035,0.265100121100596
"P082","P082",0.333333333333333,0.647533827711897,-0.885179392291889,0.423076923076923,32,"Female","56",13,54,6,20,6,10,5,40,23,17,4.05421686746988,3.68072289156627,-0.375590233627714,-0.579663367521848
"P083","P083",0.448717948717949,0.871350455451957,-0.674040333980508,0.512820512820513,35,"Male","34",7,57,13,5,12,12,7,18,13,5,5.36746987951807,5.3433734939759,-0.0887997925389517,-0.191072162755524
"P084","P084",0.307692307692308,0.443633264042626,-1.03173840122558,0.371794871794872,18,"Female","45",19,129,22,25,19,26,20,54,30,24,12.2228915662651,6.92168674698795,1.40829893204367,0.177807893942944
